    状态    |             ACTION              |       GOTO       
-----------------------------------------------------------------
    0       |#      a      b      c      d      |E      A      B      
    1       |       s2     s3                   |              1      
    2       |acc                                |                     
    3       |                     s4     s10    |       6             
    4       |                     s5     s11    |              7      
    5       |                     s4     s10    |       8             
    6       |                     s5     s11    |              9      
    7       |r1     r1     r1     r1     r1     |                     
    8       |r2     r2     r2     r2     r2     |                     
    9       |r3     r3     r3     r3     r3     |                     
    10      |r4     r4     r4     r4     r4     |                     
    11      |r5     r5     r5     r5     r5     |                     
    12      |r6     r6     r6     r6     r6     |                     
